Blog_ID,Blogger_Name,Blog_Title,Destination,Days_to_Plan,Blog_Post_Date,Average_Blog_Rating,Trip_Cost_Saved($),Readers_Count,Helpfulness_Score,Blog_Length(Words),Transportation_Mode,Average_Trip_Duration(Days),Traveler_Age_Group,Blog_Category,Likes_Count,Comments_Count,Average_Time_Spent_Reading(Minutes),Country,Traveler_Economy_Status($),Video_Blogging,User_Planned_Trip
37,Amy Woods,Computer a begin strategy.,Armstrongside,11,2023-10-13,4.78,199.83,2182,7.12,2867,Train,14,46-60,Family,1955,210,21,El Salvador,458139.87,No,Yes
38,Dustin Schroeder,Movie agree process all.,Lake Stevenfurt,6,2021-04-03,4.61,170.92,3172,1.38,1694,Flight,7,46-60,Romantic,1926,474,15,Aruba,40942.6,No,Yes
39,Kevin Lowery,Left word police democratic huge.,West Tracyton,1,2022-01-22,2.89,105.13,2824,2.24,1208,Car,10,36-45,Solo,92,217,23,Honduras,712710.69,Yes,Yes
40,Arthur Nelson,Image range involve seven week.,New Jennifer,13,2021-04-09,2.69,291.28,4995,5.58,2677,Train,4,60+,Cultural,347,155,12,Trinidad and Tobago,855306.74,Yes,Yes
41,Carlos Webster,Or language despite organization form realize.,Lake Feliciaburgh,19,2020-07-16,3.8,313.64,2132,2.05,670,Flight,12,18-25,Luxury,752,468,24,New Zealand,360060.38,Yes,Yes
42,Laurie Gonzalez,Group recent guess.,Cherylhaven,3,2021-01-03,2.85,453.66,773,9.23,1721,Bicycle,3,46-60,Adventure,1155,114,6,Cuba,702225.46,Yes,Yes
43,Justin Johnson,Stand field own population wind land.,South William,8,2023-12-14,2.26,239.71,1109,2.77,1595,Train,6,36-45,Cultural,1219,396,12,Vietnam,237718.68,No,Yes
44,Aaron Donaldson,Opportunity make decide determine time south stock.,Belltown,17,2022-02-01,1.67,173.92,1054,5.19,377,Flight,4,60+,Adventure,786,236,6,Solomon Islands,445109.67,Yes,Yes
45,Mrs. Shelly Johnson,Various say again fire.,Marilynville,5,2023-05-13,4.43,134.02,2262,3.53,2561,Bicycle,5,60+,Solo,575,312,13,Nigeria,946964.76,No,Yes
46,Stephanie Peterson,Each big meet car across why.,Lake Lisaberg,18,2021-06-05,1.02,472.88,466,3.96,1154,Bus,6,60+,Luxury,696,308,21,Iran,204917.41,No,Yes
47,Stephanie Mcmillan,Left by old particular green space.,Crystalhaven,3,2022-03-22,3.83,57.24,2588,8.27,607,Bicycle,3,18-25,Cultural,1802,336,16,Mauritius,626285.03,No,Yes
48,Isaac Lopez,Couple brother to pattern.,New Andrea,1,2021-10-28,1.32,405.73,2790,2.54,618,Train,10,18-25,Adventure,1749,494,17,Saint Helena,906859.52,Yes,Yes
49,Andrea Blake,Official decision doctor nearly.,West Megan,16,2023-05-29,2.35,358.73,358,6.67,2041,Bus,3,60+,Solo,693,267,26,Montserrat,735293.24,No,Yes
50,Benjamin Burke,First market senior with in sport body.,Grahamville,17,2022-06-23,2.07,481.43,4224,8.81,2240,Flight,4,26-35,Cultural,195,179,17,Taiwan,999065.92,No,Yes
51,Dustin Jenkins,Bad health task leg notice.,North Jennifer,17,2024-04-28,4.01,360.46,4785,7.47,2803,Train,14,60+,Adventure,199,253,12,New Caledonia,692256.71,Yes,Yes
52,Lisa Pearson,Particular out officer become bit store response.,Pamelafurt,19,2021-03-05,4.27,429.41,2830,6.82,449,Bicycle,13,46-60,Solo,1924,76,17,Zambia,783477.32,No,Yes
53,Elizabeth Pearson,Turn everything prepare none edge.,Jasonburgh,5,2023-03-30,2.16,491.17,2439,4.76,1949,Bus,4,60+,Cultural,1221,211,18,Micronesia,407545.28,Yes,Yes
54,Maria Bailey,Establish hit order price.,West Diana,4,2023-04-26,4.62,363.92,2883,7.01,344,Bus,9,26-35,Cultural,455,301,8,Rwanda,574970.34,Yes,Yes
55,Carol Myers,Measure thousand baby.,Peterberg,11,2021-03-31,3.54,398.87,4411,9.78,2725,Flight,10,36-45,Romantic,1433,371,27,Andorra,37356.89,Yes,Yes
56,Michael Davidson,Recently nice issue piece talk more something.,Jonathanhaven,15,2021-02-26,2.55,108.19,434,7.72,2462,Bus,3,36-45,Solo,980,473,22,Slovakia (Slovak Republic),397046.96,No,Yes
57,James Whitehead,Size task remain continue option both.,Millerberg,13,2022-10-11,3.73,420.72,2348,4.69,393,Flight,9,18-25,Family,1661,112,8,Georgia,895038.24,No,Yes
58,Kristen Figueroa,Recognize act media whatever no evidence quickly.,North Markland,2,2021-09-26,3.71,342.23,3651,1.05,2574,Bus,13,60+,Adventure,1900,103,9,Honduras,491180.56,Yes,Yes
59,Carla Romero,Long produce bed.,North Jonathan,20,2020-03-20,2.99,365.1,243,2.54,719,Flight,9,36-45,Solo,287,69,9,Egypt,526471.44,Yes,Yes
60,Kristen Padilla,Firm pass decision purpose.,Jasonborough,6,2020-07-26,1.72,175.53,1125,6.41,318,Train,4,36-45,Romantic,23,408,22,Eritrea,17766.55,Yes,No
61,Clarence Walton,Beat field what fill.,Staceymouth,3,2021-06-28,4.28,66.51,2187,7.73,2885,Bicycle,3,36-45,Luxury,508,44,4,Burkina Faso,838457.62,Yes,Yes
62,Carlos Sanchez,Accept success some tree certain son.,North Joshua,6,2024-03-09,3.7,289.69,3951,8.62,1336,Car,6,18-25,Luxury,449,123,4,Seychelles,504256.27,Yes,Yes
63,Ralph Lutz,Price still require oil near consumer knowledge space.,Batesbury,12,2020-09-01,2.21,346.7,3768,4.94,525,Bus,14,26-35,Family,1288,437,29,India,56829.89,Yes,Yes
64,Brenda Wright,Degree staff affect star.,North Erinberg,15,2024-08-20,1.59,348.92,4740,2.75,463,Car,13,46-60,Luxury,418,104,18,Vietnam,17399.95,Yes,Yes
65,Melissa Cohen,Spring store message moment.,Richardsonton,7,2021-09-25,3.01,385.73,1602,4.76,859,Bicycle,6,36-45,Solo,1049,372,17,Montserrat,882353.62,Yes,Yes
66,Phillip Anderson,Western space many.,Lisachester,11,2020-05-07,4.35,233.98,2759,8.42,395,Bicycle,12,60+,Romantic,1874,419,29,Malaysia,219492.93,No,Yes
67,Joan Reid,Nor care election beautiful recognize.,Sosamouth,19,2023-09-20,2.14,130.1,4943,5.78,1477,Bus,9,46-60,Cultural,292,119,23,Korea,71957.52,No,Yes
68,Jennifer Jones,Set event bit among tax.,Andersonhaven,4,2021-02-02,3.1,402,4274,5.67,2960,Car,9,18-25,Family,1139,116,25,Saint Vincent and the Grenadines,344147.08,No,Yes
69,Jaime Brown,Hear coach central watch set.,Campostown,14,2022-05-05,2.9,84.99,1909,6.7,2808,Car,13,18-25,Luxury,1108,400,24,Gabon,772583.13,No,Yes
70,Jennifer Gilmore,Anyone color box current consumer.,South Julie,14,2022-03-18,1.59,77.68,1538,1.6,1040,Car,13,26-35,Cultural,246,371,2,Aruba,911263.13,Yes,Yes
71,Evan Cortez,Nothing film point pretty discuss offer television.,Port Craig,7,2023-03-29,4.49,462.56,2617,3.74,708,Bicycle,10,60+,Luxury,1711,475,20,Dominica,690303.17,No,Yes
72,Kimberly Carter,Assume role option.,Lake Paul,2,2024-07-07,2.61,110.57,2435,6.32,1897,Flight,11,26-35,Luxury,774,218,29,United Kingdom,906680,No,Yes
73,Tracy Browning,Suffer training religious PM minute table.,Alyssaton,20,2021-04-28,1.96,209.95,4179,8.32,2521,Bus,5,36-45,Luxury,791,250,27,Samoa,401795.12,Yes,Yes
74,Christopher Rodriguez,Officer right American perform stock Mr entire.,West Deborah,17,2022-03-23,2.65,341.08,1001,7.21,2442,Bus,11,36-45,Budget,1393,239,19,South Africa,467933.72,No,No
75,Shelia Jackson,Cut in newspaper.,Alyssastad,19,2020-11-14,2.31,438.87,3461,6.8,1443,Flight,6,60+,Romantic,1155,424,28,Tonga,862634.55,No,Yes
76,Daniel Martin,Such attention social reason create economy.,North Christine,14,2022-09-23,1.27,460.08,746,7.39,729,Flight,4,18-25,Cultural,194,34,13,Isle of Man,202887.16,No,Yes
77,Maria Ruiz,Town power war.,Port Richard,16,2021-05-17,3.95,252.15,1344,2.2,1965,Train,3,36-45,Luxury,665,380,8,Jersey,297106.3,No,Yes
78,Debbie Robertson,Drop also protect stock him.,Wandachester,9,2020-01-17,4.3,118.11,945,9.24,2517,Flight,10,36-45,Solo,1255,370,25,Mayotte,595238.9,No,No
79,Peter Proctor,Other painting treat work challenge attention event.,New Catherine,8,2023-08-06,4.88,296.73,4371,7.76,1665,Bus,7,46-60,Solo,1987,222,21,Antigua and Barbuda,483694.3,Yes,Yes
80,Clayton Stephenson,Push eye act.,New Lisafurt,2,2020-11-29,3.68,360.21,1681,1.67,1032,Train,9,18-25,Family,1117,453,28,Iran,880512.06,No,No
81,Frances Holden,Third share choose color woman forward.,New Keithside,12,2022-03-22,3.07,492.41,3342,4.83,1512,Bicycle,6,36-45,Romantic,1902,58,4,Macao,896145.28,Yes,Yes
82,William Wilson,Administration reason thank today later.,Cameronburgh,3,2020-11-25,3.67,494.19,3953,7.06,308,Bus,9,26-35,Cultural,1463,285,28,Cote d'Ivoire,723461.54,Yes,No
83,Troy Porter,Gun international prepare hot outside training.,Khanmouth,16,2020-06-19,3.56,117.99,1524,9.22,2660,Flight,10,60+,Romantic,381,469,11,Bahrain,615959.87,Yes,Yes
84,Jeff Reed,Perhaps describe probably third husband sure picture others.,Craigfurt,4,2021-01-08,2.68,361.96,581,5.3,1240,Car,6,60+,Solo,1403,148,21,Isle of Man,668096.54,No,Yes
85,Dana Wilson,Future bed though rich explain near.,Huberfort,13,2021-01-20,1.99,147.05,4055,6.19,1947,Train,4,46-60,Romantic,1636,321,17,Rwanda,489670.06,No,Yes
86,Alexandra Harris,Though worker bit option finish appear rest indicate.,North Andreaburgh,8,2023-10-03,1.21,437.49,3147,8.38,1574,Train,11,26-35,Family,532,264,19,Egypt,760239.05,No,Yes
87,Howard Hall,Fund smile heart student customer meet sign health.,West Tiffany,16,2023-01-09,2.13,451.43,113,4.32,2920,Bus,14,46-60,Solo,1005,450,3,Central African Republic,47188.29,Yes,Yes
88,Patrick Sims,Attention here while stuff reveal easy difference.,Elijahfort,13,2022-03-09,4.67,299.42,3354,7.01,498,Flight,11,36-45,Adventure,1022,128,20,Saint Vincent and the Grenadines,45983.11,Yes,Yes
89,Brian Mahoney,Glass picture series whom remain ball economic.,Charlesfurt,4,2022-03-22,3.55,159.48,4012,3.19,2478,Car,11,60+,Cultural,696,411,16,Serbia,541906.74,No,Yes
90,Matthew Travis,Situation artist laugh purpose movement.,Boonefort,13,2021-04-13,3.22,68.79,115,6.09,1054,Bicycle,14,36-45,Budget,42,55,10,Comoros,51730.75,Yes,Yes
91,Dawn Roy,Hundred stuff nice question member particularly.,Cynthiaborough,20,2020-03-15,2.23,178.72,4787,5.38,1481,Flight,13,26-35,Romantic,1684,43,8,Reunion,738570.77,Yes,Yes
92,Paula Carey,Job we nearly debate glass drug significant.,Davidberg,11,2024-01-27,1.85,259.05,2680,2.47,1355,Flight,12,46-60,Luxury,883,446,13,Burundi,474130.64,Yes,No
93,Jeremy Morrison,Executive it against.,Davidberg,16,2023-09-01,2.48,496.44,4577,5.37,2004,Flight,4,46-60,Family,256,213,18,Kenya,870553.88,No,No
94,Debra Washington,Memory surface tree accept rich all still.,Port Luis,19,2023-06-15,1.73,108.9,3739,6.65,907,Flight,12,26-35,Family,261,202,21,Argentina,902792.17,Yes,Yes
95,Brandon Vasquez,Laugh summer free career reveal.,South Kathleen,11,2023-08-06,3.82,126.23,257,2.2,886,Bus,11,18-25,Solo,1554,429,4,Samoa,373213.25,Yes,Yes
96,Jonathan Wall,Let challenge yeah else realize position where.,Stokesfort,18,2021-05-28,1.74,284.45,4684,2.9,792,Train,7,36-45,Solo,410,76,6,Afghanistan,552537.4,Yes,Yes
97,Michael Flores,Free without coach whom determine machine hour several.,Olsonfort,18,2020-11-26,4.8,181.05,2019,3.99,2554,Bus,12,18-25,Family,1895,487,18,Sierra Leone,802353.64,Yes,Yes
98,Mrs. Phyllis Bradshaw,Station imagine dog week her.,Johnsonview,14,2020-03-20,3.74,427.41,2827,8.79,550,Bicycle,4,18-25,Family,684,44,20,Heard Island and McDonald Islands,233017.12,Yes,No
99,April Orozco,Money the manager really at hot program.,Rojasmouth,4,2024-02-20,3.96,126.54,3030,2.43,2677,Car,10,46-60,Cultural,222,94,15,Aruba,50707.17,Yes,Yes
100,Stephanie Silva,White create during manager job project spend century.,Hollyborough,9,2024-06-28,1.23,462.38,1538,7.61,1930,Bicycle,3,36-45,Cultural,1147,106,25,British Indian Ocean Territory (Chagos Archipelago),856861.02,Yes,Yes
101,Carolyn Hill,These form poor hair.,Lawrencechester,4,2022-01-29,1.06,344,112,9.01,2789,Train,3,60+,Budget,43,316,26,Bulgaria,201749.61,Yes,Yes
102,Daisy French,Site economic center week prove impact.,Terrymouth,7,2021-08-02,3.48,337.54,1965,2.14,1133,Bicycle,7,18-25,Solo,1049,219,23,Singapore,186141.83,No,Yes
103,Sean Powell,Memory want we local study sure.,New Zachary,18,2024-05-05,3.42,254.06,4442,2.79,1796,Bicycle,3,26-35,Budget,1384,425,12,Guatemala,639967.1,Yes,Yes
104,Teresa Miller,South lot meet practice.,Port Jason,4,2024-09-08,4.3,413.47,4264,1.42,2892,Bicycle,4,46-60,Family,446,225,10,Iran,877409.75,Yes,Yes
105,Amy Deleon,Success those majority.,Ricetown,15,2022-06-14,3.37,345.29,2111,4.66,2930,Bicycle,6,18-25,Romantic,1279,146,27,Lesotho,519044.85,Yes,Yes
106,Selena Peters,Mr director small mission represent.,Port Brian,14,2024-07-03,4.96,128.47,397,7.47,1265,Bicycle,12,26-35,Luxury,1555,389,8,Estonia,15882.98,Yes,Yes
107,Mr. Devin Dunn DDS,Ago child garden cut cut notice five.,Marcstad,3,2020-08-30,1.29,467.44,245,8.7,945,Train,6,36-45,Luxury,336,51,24,Saint Pierre and Miquelon,764193.79,No,Yes
108,Jasmine Newton,Fight public just part ok lead stand TV.,Tracyside,12,2022-01-24,3,240.77,708,1.58,2379,Bus,4,60+,Solo,1056,495,18,Netherlands,570176.18,Yes,Yes
109,Mrs. Mary Lopez,Perform economy enter interest fact.,Parkton,17,2022-09-28,2.55,331.26,1621,3.65,2981,Bus,4,60+,Adventure,822,416,10,Australia,976223.66,Yes,Yes
110,Megan Joseph,Hot behind far modern such call arm.,North Jamesmouth,3,2024-04-09,1.42,81.62,2619,2.01,2141,Bus,3,18-25,Budget,923,294,11,Guinea,32614.45,Yes,Yes
111,Antonio Boyer,Who return type stop card though spend.,Jeremystad,1,2024-09-06,4.3,395.44,3555,3.34,1715,Bus,14,26-35,Family,857,285,18,Nicaragua,332365.08,Yes,Yes
112,Susan Hansen,Soldier white wall red soldier myself.,South Ericport,16,2022-11-27,1.61,304.22,3810,9.46,985,Bicycle,3,46-60,Family,801,227,15,Netherlands Antilles,950966.54,No,No
113,Christopher Hill,Beyond director available customer pick wind especially.,Julieshire,5,2022-03-24,2.11,451.57,2627,3.36,2910,Flight,9,26-35,Romantic,289,424,7,Malaysia,363111.57,Yes,Yes
114,Christopher Woods,Billion age energy.,Erikaland,12,2020-12-06,4.81,52.99,1411,3.73,2869,Train,12,46-60,Cultural,265,215,7,Gabon,395440.77,Yes,Yes
115,Tammy Brown,Force different and find it popular same.,Harrisbury,13,2021-01-18,2.05,123.21,4756,6.81,846,Bus,4,26-35,Budget,460,58,3,El Salvador,600274.87,Yes,Yes
116,Pamela Hoover,Degree common develop white.,Port Cody,17,2022-12-14,2.53,409.29,2891,5.93,2854,Flight,3,26-35,Family,1575,155,2,Svalbard & Jan Mayen Islands,265840.93,Yes,Yes
117,Sandra Ware,Others war state person training later threat Mr.,New Andrewbury,4,2022-02-27,1.76,480.4,4662,1.02,1768,Flight,6,46-60,Budget,73,365,2,Uzbekistan,758075.23,Yes,Yes
118,Larry Steele,Kid property behavior number yard early.,Lindseystad,8,2023-12-13,1.57,205.21,4526,2.51,787,Bicycle,3,18-25,Adventure,1375,283,24,Liberia,305126.5,Yes,No
119,Anita Smith,Approach pattern baby oil local.,Ashleybury,3,2024-05-10,1.09,152.75,728,2.91,1022,Car,5,26-35,Luxury,443,138,19,Peru,905130.73,Yes,No
120,James Green,Begin education discover wait newspaper.,Michaelhaven,14,2022-09-03,3.5,103.26,1446,3,1417,Flight,9,46-60,Solo,1831,486,11,South Georgia and the South Sandwich Islands,779775.16,Yes,Yes
121,Robin Anderson,News cold subject drug note.,Robinsonfort,5,2020-09-11,2.43,179.82,4132,5.2,2339,Flight,9,18-25,Luxury,1337,101,15,Latvia,665028.92,Yes,Yes
122,Jill Thomas,Mrs night spend next.,North Eric,6,2022-08-02,1.43,372.54,4899,1.7,2266,Flight,3,26-35,Budget,1281,422,16,Djibouti,552993.24,Yes,Yes
123,Edward Estrada,Morning friend upon page little prepare.,Coltontown,12,2023-07-10,1.38,245,2727,2.67,1544,Bicycle,7,18-25,Romantic,1972,331,5,Singapore,123998.54,No,Yes
124,Jeffrey Lutz,Main institution heart firm education information light.,Port Michaelport,20,2020-01-05,2.99,449.37,2412,3.95,345,Flight,6,60+,Luxury,373,195,6,Korea,657369.04,No,Yes
125,Stephen Trujillo,Box challenge into well.,Lake Dantown,15,2023-02-05,1.67,331.21,4509,4.91,2330,Flight,6,26-35,Cultural,1012,217,11,Puerto Rico,289846.87,Yes,Yes
126,Hannah Mcgee,Face movie rich among statement play natural.,Schmidtside,13,2022-08-26,3.99,456.67,1581,3.6,2791,Bus,10,60+,Budget,758,421,26,Saint Lucia,569794.8,No,Yes
127,James Nelson,Say necessary defense always.,Port Matthewtown,4,2023-05-29,3.38,99.54,3562,3.96,2478,Flight,4,60+,Family,1311,307,15,Mauritius,798288.42,Yes,No
128,Phillip Vega,Experience eight thank.,East Brendan,20,2023-12-24,3.28,307.86,2534,3.19,941,Bus,3,26-35,Luxury,938,182,7,Bermuda,200133,Yes,Yes
129,Michele Foster,Under fast decision likely candidate financial better.,Lake John,5,2020-07-16,4.92,124.17,1028,5.72,2030,Flight,5,36-45,Romantic,1424,289,14,Aruba,977517.34,Yes,Yes
130,Angela Wallace,Because whether life around think.,Jackborough,13,2020-11-10,4.65,478.24,1175,9.75,1404,Bicycle,14,46-60,Solo,1732,8,25,Tanzania,491042.32,Yes,No
131,Phillip Brown,Where hand say player serious.,Johnsonport,2,2022-03-01,2.57,285.53,4669,7.72,1686,Car,10,60+,Solo,1104,13,17,Romania,613854.33,Yes,Yes
132,Jacob Morrow,Degree strategy senior culture.,Perrymouth,1,2021-09-21,1.7,383.79,1953,8.54,499,Bus,3,18-25,Cultural,1021,384,22,Central African Republic,16330.04,Yes,Yes
133,Robert Parker,Production foreign reach economic explain science nor.,Lake Danielleland,20,2020-06-17,4.09,444.02,1398,7.37,1072,Car,10,36-45,Solo,1389,363,20,Burundi,490937.04,No,Yes
134,Lori Moore,Own tree over vote catch financial.,Port Julie,4,2023-06-21,4.73,344.04,3573,8.27,614,Train,6,60+,Adventure,172,269,5,Saint Pierre and Miquelon,839287.67,Yes,Yes
135,Thomas Brown,Enter board value.,Sanchezberg,3,2023-11-15,4.91,87.69,2210,6.73,1907,Flight,6,18-25,Cultural,1445,226,14,Taiwan,593025.98,Yes,Yes
136,Kimberly Gallagher,Among either eight group.,Annabury,3,2020-07-28,3.36,113.01,3215,5.14,1021,Flight,11,18-25,Family,554,251,5,Belize,466742.44,No,Yes
137,Jeffrey Vega,Pass magazine president either change.,Lake William,15,2021-03-27,1.08,97.88,1600,8.63,1424,Bicycle,5,36-45,Adventure,880,186,15,Belarus,862469.77,No,Yes
138,Ralph Bonilla,Contain leg section practice give.,Lake David,18,2023-02-23,4.38,308.69,397,2.02,1523,Bus,3,36-45,Adventure,806,358,5,Palau,575389.16,Yes,Yes
139,Mark Curtis,Occur help sign how part create.,New Jessicaton,17,2024-05-08,3.6,484.06,3336,7.97,997,Train,6,36-45,Family,1343,481,20,Andorra,85343.78,No,Yes
140,Emily Johnson DDS,Foot speak right financial.,Ramirezbury,9,2024-09-07,1.13,489.86,548,2.18,582,Bus,14,26-35,Budget,554,221,13,Togo,700154.47,Yes,Yes
141,Edward Fox,Five future several various.,New Steven,20,2020-11-12,3.43,485.51,3735,9.93,1205,Bicycle,3,36-45,Adventure,1540,485,17,India,597948.02,Yes,Yes
142,Tiffany Glass,Nothing work receive board support raise.,North Rachel,13,2024-03-09,3.35,489.93,3108,6.13,1853,Bus,5,60+,Adventure,1433,146,3,Somalia,702137.06,No,Yes
